# galaxies-wafers	unix	entry_lines	entries	sha12
1789529013	118274	750	c2f98645f1c7
1789528744	118074	748	9fca3b5c8d1a
1789528316	118061	748	87c8c6c085ff
1789526967	117830	747	856d006aa65d
1789521939	117748	747	5a81096dd804
1789521628	117653	746	4a270bfc795d
1789521291	117594	746	ff4dce3d9936
1789511086	114965	735	fff6fc6ad4f9
1789511085	114965	735	4efe3dc9a2d6
1789510828	114965	735	e2e78257d329
1789505862	114424	733	c21f07a056f8
1789505860	114415	733	ec7b2bafb95c
1789505834	114011	730	6aff823dd024
1789505546	114167	730	ee7a0afa252b
1789505544	114158	730	6b173b19baf8
1789505516	113677	726	d6b723b3d0fe
1789505268	113763	727	9f5950b8fb92
1789505266	113754	727	72d778f5633f
1789505238	112219	708	38640c3b54a5
1789504965	113282	723	3a09ab567ca9
1789504963	113273	723	a65d0908e5b9
1789504934	111091	702	af6b99186e40
1789504899	112868	720	fc761d67c5c1
1789504870	109826	706	8c7a056130bd
1789504834	111747	704	7bc8978003b6
1789504831	111738	704	ab3009fd5b2a
1789504804	110588	699	ae39fb02ce7a
1789504800	110835	700	bff23b217a49
1789504767	109997	696	67494ddea8a3
1789504520	110686	699	1e504f0534ae
1789504518	110677	699	1522cd41ad5b
1789504490	110240	698	f86669a2f578
1789504456	109848	695	6d172275d24a
1789504413	107783	686	17032d46458b
1789504392	107779	686	de58b32b110c
1789503924	109685	695	9075b6561d49
1789503895	107894	687	c3ae65c685d8
1789503673	109411	694	65e0afacfc39
1789503634	109390	694	91a371b8864f
1789503632	109381	694	1506dfa966e8
1789503600	109146	694	e711a90a85f9
1789503344	108705	690	ee082ea7fbb6
1789503313	107855	686	8ac6cd46e599
1789502706	108470	690	93759ba533c7
1789502704	108461	690	d871aa19a209
1789502664	105259	685	1ae0b652142e
1789502515	107620	686	1e9e17767fe2
1789502513	107611	686	21f6488f7707
1789502513	106602	682	e51fa99b7c84
1789502352	100471	650	9ab072133b2d
1789502338	104359	681	a185773a3e5f
1789502318	104359	681	5cf74e775a80
1789502306	104127	681	2e65adcb11c6
1789501988	106255	682	a52e6883a140
1789501934	100944	648	3a839c7c31b9
1789501697	104418	681	8b4611b9b5c4
1789501695	104409	681	0d49742b5604
1789501663	102509	657	03c6ab622746
1789501552	103350	677	462c26da3cdd
1789501521	103028	659	94511ae6c269
1789501503	103286	677	b970a7703b9d
1789501469	103027	659	fbb713972363
1789501141	103223	677	fd318bdfea60
1789500796	102964	659	7c177c9895f3
1789500794	102955	659	05ab066743bb
1789500751	35235	370	ebf2f58934e3
1789500743	101450	653	41a2b64750ef
1789500741	101441	653	29e749f23f87
1789500636	26755	326	2c50ced50ef0
1789500400	100124	650	52e471eb341e
1789500399	100115	650	352a033cddfa
1789500364	34738	367	7e668e26c3da
1789500352	99107	647	16516e919120
1789500351	99098	647	26992b37636e
1789500325	95453	590	8a466202a786
1789500240	98164	643	e278cb59fbad
1789500039	97983	633	f61764dba3d9
1789500037	97974	633	13c1142a3f0f
1789499883	25017	342	266209ed6364
1789499870	95939	601	03aebff23517
1789499628	95712	592	58ca2cb3a656
1789499627	95703	592	7bb93d63f1f4
1789499595	28875	350	7bbce7a4bc37
1789499588	94519	586	db9e680ae882
1789499474	94519	586	320899f7cdd5
1789499472	94510	586	1bbaef674bc5
1789499434	93487	582	9afeff3e5471
1789499432	93462	582	32b19f3c9071
1789499432	93455	582	f45c79f10d76
1789499428	29869	354	e710bc174d04
1789499332	34564	367	44631c731baa
1789499272	30315	356	5d4d7cdb3f1d
1789499203	33730	364	2289f2898d4a
1789499201	33721	364	b52ed243c8e2
1789499184	31687	358	d7fe5834f537
1789499181	31678	358	c0e160e3e905
1789499153	27472	329	96f3f07bbc30
1789499147	29888	349	6aec5dd4f3f3
1789498500	29481	353	33e3c4a2d0c1
1789498498	29472	353	31facbbbdced
1789498474	28846	350	34f7a16c6677
1789498473	28837	350	3fb224719f66
1789498464	26064	326	7c9e1c41e7ba
1789498444	26008	326	bdffefe2393e
1789498439	28267	347	fd04c6fcb9a6
1789498438	28258	347	310b65ef6df9
1789498395	26005	326	0045db855f07
1789497932	27691	344	cc5a0754c369
1789497687	25438	323	b971ef929a5f
1789497686	25411	323	f0c7a94e18c3
1789497686	24887	320	65dc1952f721
1789497685	24406	317	816b4870b4c1
1789497565	24299	314	1ad0e88747e8
1789497485	23506	313	8ac40522dc09
1789497482	23463	313	36327555c7d7
1789497400	23089	313	0355dab1f71e
1789497090	23030	312	deff7ad232fe
1789496719	22982	310	abda58ba349c
1789496719	22858	308	e92aa091fcb1
1789495664	22837	308	be62c82b9ffe
1789495364	22802	308	20c1e494d8aa
1789492213	22575	304	f5de7a85cb23
1789492099	22559	304	52003ef24015
1789491700	22503	304	4e2299f1e0d3
1789491614	8840	262	dd20a5c7162a
1789491319	21128	299	3ac640e2999f
1789491293	8736	262	06ef148f45d7
1789491282	19857	294	57659d03a777
1789491256	8786	262	0ac07784b462
1789491230	18536	289	45e7c5b0397d
1789491229	17229	283	a30ef1a49c7a
1789491216	16404	279	098aaaaebb33
1789491201	8772	263	a80a5b66b3fb
1789491192	8290	261	e38ba10d5ef7
